dataset,scenario,seed,model,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,trace_sha256
ton_iot,stationary,191,HeavyMLP,20000,0.98735,0.9883778666466309,0.9579524680073126,0.9903401931961361,0.9738771295818276,0.9917169142507687,0.9826695535446591,15031,207,46,4716,9556c4c172889bdb77cbd45c576171dc2afb964144e83db378d51d372343a1df
ton_iot,drift,11,TinyDT,50000,0.55422,0.6596479722064662,0.4354269762720467,0.9975581395348837,0.6062361982157053,0.9900271554169031,0.9683789175539881,10553,22247,42,17158,5ed9a96ef127ae986f17b76160fd4090578a54a733acd06a421ccf355bddeb7e
ton_iot,drift,11,LightLR,50000,0.97914,0.9760124787294384,0.9731740174544603,0.9659883720930232,0.9695678814226942,0.9932763170022688,0.9891966016433402,32342,458,585,16615,5ed9a96ef127ae986f17b76160fd4090578a54a733acd06a421ccf355bddeb7e
ton_iot,drift,11,MedRF,50000,0.98828,0.9901269143505389,0.9706515580736544,0.996046511627907,0.9831850789096126,0.9964978410380034,0.9913200181789603,32282,518,68,17132,5ed9a96ef127ae986f17b76160fd4090578a54a733acd06a421ccf355bddeb7e
ton_iot,drift,11,HeavyMLP,50000,0.98736,0.9880154566080545,0.973587925908987,0.9901162790697674,0.9817825435258849,0.9913712785380033,0.9878589409957842,32338,462,170,17030,5ed9a96ef127ae986f17b76160fd4090578a54a733acd06a421ccf355bddeb7e
ton_iot,drift,23,TinyDT,50000,0.554,0.6593558564946114,0.4352759023300675,0.9970348837209302,0.605993144634086,0.989767909812819,0.9685122945791164,10551,22249,51,17149,f9cd7aed9015912ba904cfba09b11dfc10a68449324cb8ac164c609851790113
ton_iot,drift,23,LightLR,50000,0.98026,0.9777233408961996,0.9729304007934193,0.969593023255814,0.9712588451122565,0.9935516972135565,0.9887699187119516,32336,464,523,16677,f9cd7aed9015912ba904cfba09b11dfc10a68449324cb8ac164c609851790113
ton_iot,drift,23,MedRF,50000,0.98834,0.9902417753828701,0.9705499235430708,0.9963372093023256,0.9832745216168919,0.9965000655842315,0.9917774694557364,32280,520,63,17137,f9cd7aed9015912ba904cfba09b11dfc10a68449324cb8ac164c609851790113
ton_iot,drift,23,HeavyMLP,50000,0.98708,0.9878020419739081,0.9728093225179938,0.9901162790697674,0.9813865037745635,0.9911873041335791,0.9878297599454501,32324,476,170,17030,f9cd7aed9015912ba904cfba09b11dfc10a68449324cb8ac164c609851790113
ton_iot,drift,37,TinyDT,50000,0.55424,0.6598429523539421,0.4354805985290388,0.998313953488372,0.6064276885043264,0.9907406772901306,0.9694290948196458,10541,22259,29,17171,adf27ea882a171dd67851274df03d1ed3bb480aa3463b6ba575964c2b0a2d6a1
